"","genre","yob","age","pob","citizenship","citizenship_code","religion","age_arrival_ita","years_in_ita","legal_status","legal_status_binary","educational_title","years_of_education","recognized","italian_language_knowledge","recognized_binary","avg_monthly_salary","avg_working_hours_pw","avg_monthly_income_cohabiting_persons","marital_status","partner_citizenship","n_of_children","n_of_cohabiting_persons","personal_money_back_home","cohabiting_persons_money_back_home","GP","first_aid","specialist_visits_SSN","specialist_visits_private","volunteer_center","prevention"
"38","Male",1987,29,"Abroad","Africa","436","Muslim",20,9,"Valid residence permit/visa","Legal","Lower secondary school",8,"No","Very","No",1300,35,1300,"Single","I do not have a spouse/partner",0,1,700,700,"Yes","Yes","Yes","No","No","No"
"39","Female",1987,29,"Italy","Africa","450","Other Christian",0,29,"CE long-term residence permit","Legal","Vocational qualification",11,NA,"Very well",NA,350,10,1800,"Single","I do not have a spouse/partner",0,5,0,600,"Yes","Yes","Yes","Yes","No","No"
"40","Male",1958,58,"Abroad","Asia","344","Muslim",31,27,"Dual citizenship","Legal","Lower secondary school",8,"No","Very","No",1300,40,2500,"Married","Same as respondent",3,5,300,300,"Yes","Yes","Yes","Yes","No","No"
"41","Male",1987,29,"Abroad","Asia","344","Muslim",16,13,"CE long-term residence permit","Legal","Vocational qualification",11,"Yes","Very well","Yes",1350,40,3000,"Single","I do not have a spouse/partner",0,5,200,500,"Yes","Yes","Yes","Yes","No","No"
"42","Male",1991,25,"Abroad","Asia","344","Muslim",12,13,"CE long-term residence permit","Legal","Lower secondary school",8,"Yes","Very well","Yes",600,20,3000,"Single","I do not have a spouse/partner",0,5,200,300,"Yes","Yes","Yes","Yes","No","No"
"43","Male",1980,36,"Abroad","Asia","344","Muslim",19,17,"CE long-term residence permit","Legal","Vocational qualification",11,"Yes","Very well","Yes",1550,30,2300,"Married","Same as respondent",2,4,400,600,"Yes","Yes","Yes","No","No","No"
"44","Male",1971,45,"Abroad","Asia","330","Muslim",24,21,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",1450,35,1450,"Married","Same as respondent",4,1,500,500,"Yes","Yes","Yes","No","No","No"
"45","Male",1955,61,"Abroad","Africa","431","Muslim",37,24,"CE long-term residence permit","Legal","Vocational qualification",11,"No","Very","No",1500,40,1500,"Married","Same as respondent",4,6,0,0,"Yes","Yes","Yes","Yes","No","No"
"46","Male",1976,40,"Abroad","Africa","436","Muslim",32,8,"CE long-term residence permit","Legal","Lower secondary school",8,"No","Very","No",1100,35,1100,"Married","Same as respondent",2,1,300,300,"Yes","Yes","Yes","No","No","No"
"47","Female",1990,26,"Abroad","Africa","436","Muslim",19,7,"Valid residence permit/visa","Legal","Lower secondary school",8,"No","Very","No",900,20,900,"Married","I do not have a spouse/partner",0,4,0,0,"Yes","Yes","Yes","Yes","No","No"
"48","Female",1994,22,"Abroad","Asia","330","Muslim",18,4,"Expired residence permit/visa being renewed","Legal","Lower secondary school",8,"Don't know, wouldn't need it given the job opportunities in Italy","Very","No",350,10,1500,"Married","Same as respondent",1,4,0,0,"Yes","Yes","Yes","No","No","Yes"
"49","Female",1972,44,"Abroad","Asia","330","Muslim",32,12,"CE long-term residence permit","Legal","Upper secondary school",13,"Yes","Very","Yes",1200,38,2500,"Married","Same as respondent",2,4,0,0,"Yes","No","Yes","Yes","Yes","Yes"
"50","Female",1972,44,"Abroad","Europe","201","Muslim",26,18,"CE long-term residence permit","Legal","Upper secondary school",13,"Yes","Very","Yes",1300,40,3000,"Married","Same as respondent",1,3,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"51","Male",1962,54,"Abroad","Africa","450","Muslim",46,8,"Expired residence permit/visa being renewed","Legal","Lower secondary school",8,"Yes","Very","Yes",1200,40,3000,"Married","Same as respondent",3,4,0,1000,"Yes","Yes","Yes","Yes","No","Yes"
"52","Female",1984,32,"Abroad","Europe","254","Orthodox Christian",19,13,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Very","No",1000,40,2000,"Married","Other citizenship",1,3,0,0,"Yes","No","No","No","No","No"
"53","Male",1982,34,"Abroad","Asia","330","Hindu",30,4,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",1300,20,1300,"Married","Same as respondent",2,4,0,0,"Yes","No","Yes","No","No","No"
"54","Female",1981,35,"Abroad","Europe","235","Orthodox Christian",25,10,"EU citizens (or dual citizenship of another EU country)","Legal","Vocational qualification",11,"Yes","Very well","Yes",1300,36,3000,"Married","Other citizenship",1,3,0,0,"Yes","No","Yes","Yes","No","Yes"
"55","Male",1972,44,"Abroad","Europe","201","No religion",25,19,"Dual citizenship","Legal","Upper secondary school",13,"Yes","Very well","Yes",2000,40,3500,"Married","Other citizenship",2,4,0,0,"Yes","Yes","Yes","No","No","No"
"56","Male",1963,53,"Abroad","Asia","330","Hindu",33,20,"CE long-term residence permit","Legal","Upper secondary school",13,"Yes","Fairly","Yes",1300,40,1400,"Married","Same as respondent",2,4,0,0,"Yes","Yes","Yes","Yes","No","Yes"
"57","Female",1978,38,"Abroad","Europe","235","Orthodox Christian",22,16,"EU citizens (or dual citizenship of another EU country)","Legal","Upper secondary school",13,"No","Very well","No",950,40,2400,"Married","Same as respondent",1,3,0,0,"Yes","No","Yes","No","No","No"
"58","Male",1971,45,"Abroad","Africa","436","Muslim",24,21,"Dual citizenship","Legal","Primary school",5,"No","Fairly","No",1100,38,1100,"Married","Same as respondent",4,6,0,0,"Yes","No","No","No","No","No"
"59","Male",1990,26,"Italy","Europe","201","Catholic Christian",0,26,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,1000,30,1000,"Single","I do not have a spouse/partner",0,1,150,150,"Yes","No","Yes","Yes","No","No"
"60","Female",1995,21,"Abroad","Europe","201","Catholic Christian",16,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",300,22,1200,"Single","I do not have a spouse/partner",0,4,0,150,"Yes","No","Yes","No","No","Yes"
"61","Male",1984,32,"Abroad","Africa","404","Muslim",26,6,"Valid residence permit/visa","Legal","Upper secondary school",13,"Don't know, not informed","Fairly","No",900,30,1000,"Married","Same as respondent",2,5,100,100,"Yes","No","Yes","Yes","No","Yes"
"62","Female",1980,36,"Abroad","Africa","436","Muslim",23,13,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",600,25,900,"Married","Same as respondent",3,6,0,0,"Yes","No","No","No","No","Yes"
"63","Male",1991,25,"Abroad","Africa","460","Muslim",12,13,"CE long-term residence permit","Legal","Lower secondary school",8,NA,"Very",NA,400,20,1500,"Single","I do not have a spouse/partner",0,6,0,0,"Yes","Yes","Yes","No","No","No"
"64","Male",1976,40,"Abroad","Africa","436","Muslim",24,16,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",1600,32,1600,"Married","Same as respondent",4,7,0,0,"Yes","No","Yes","Yes","No","No"
"65","Female",1981,35,"Abroad","Europe","245","Catholic Christian",25,10,"CE long-term residence permit","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",500,18,2000,"Married","Italian",1,3,200,200,"Yes","No","Yes","Yes","No","Yes"
"66","Male",1997,19,"Italy","Africa","450","Muslim",0,19,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,200,15,1250,"Single","I do not have a spouse/partner",0,5,0,100,"Yes","No","No","No","No","Yes"
"67","Male",1996,20,"Italy","Africa","443","Catholic Christian",0,20,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,450,18,1600,"Single","I do not have a spouse/partner",0,4,0,200,"Yes","No","No","No","No","No"
"68","Female",1984,32,"Abroad","Africa","443","Catholic Christian",16,16,"CE long-term residence permit","Legal","Vocational qualification",11,NA,"Very well",NA,800,25,2000,"Married","Italian",0,2,0,0,"Yes","No","Yes","No","No","Yes"
"69","Male",1989,27,"Abroad","Africa","401","Muslim",11,16,"Dual citizenship","Legal","University degree or postgraduate diploma",16,NA,"Very well",NA,1000,38,1200,"Married","Other citizenship",0,2,0,0,"Yes","No","No","No","No","Yes"
"70","Female",1987,29,"Abroad","Africa","436","Muslim",24,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"No","Fairly","No",450,20,1600,"Single","I do not have a spouse/partner",0,6,0,200,"Yes","No","Yes","No","No","No"
"71","Male",1981,35,"Abroad","Asia","344","Muslim",19,16,"CE long-term residence permit","Legal","Lower secondary school",8,"Yes","Very","Yes",800,40,1000,"Single","I do not have a spouse/partner",0,3,150,150,"Yes","Yes","No","No","No","Yes"
"72","Male",1980,36,"Abroad","Europe","235","Orthodox Christian",30,6,"EU citizens (or dual citizenship of another EU country)","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1600,35,1600,"Married","Same as respondent",2,5,100,100,"Yes","Yes","No","No","No","Yes"
"73","Male",1968,48,"Abroad","Africa","419","Muslim",22,26,"Dual citizenship","Legal","Vocational qualification",11,"Yes","Very well","Yes",1200,30,1900,"Married","Italian",2,4,100,100,"Yes","Yes","Yes","No","No","Yes"
"74","Female",1973,43,"Abroad","Europe","243","Orthodox Christian",33,10,"Valid residence permit/visa","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",850,40,1000,"Divorced/Separated","I do not have a spouse/partner",1,1,150,150,"Yes","No","Yes","No","No","Yes"
"75","Male",1963,53,"Abroad","Africa","423","Other Christian",38,15,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"No","Very well","No",300,20,500,"Married","Same as respondent",3,1,60,60,"Yes","No","Yes","No","No","Yes"
"76","Male",1991,25,"Abroad","Africa","411","Evangelical Christian",19,6,"Valid residence permit/visa","Legal","University degree or postgraduate diploma",16,"Yes","Very well","Yes",150,4,150,"Single","I do not have a spouse/partner",0,1,0,0,"No","No","No","No","No","No"
"77","Female",1990,26,"Abroad","Asia","305","Muslim",13,13,"CE long-term residence permit","Legal","Lower secondary school",8,"Yes","Very well","Yes",600,18,1000,"Married","Same as respondent",2,4,100,100,"Yes","No","No","No","No","Yes"
"78","Female",1970,46,"Abroad","Asia","348","Muslim",22,24,"Dual citizenship","Legal","University degree or postgraduate diploma",16,"No","Very well","No",1000,20,1000,"Widowed","I do not have a spouse/partner",2,3,0,0,"Yes","No","No","No","No","Yes"
"79","Female",1992,24,"Abroad","Africa","436","Muslim",8,16,"Dual citizenship","Legal","Upper secondary school",13,NA,"Very well",NA,850,45,2000,"Single","I do not have a spouse/partner",0,5,50,50,"No","No","No","No","No","Yes"
"80","Male",1982,34,"Abroad","Europe","201","Muslim",19,15,"CE long-term residence permit","Legal","Lower secondary school",8,"No","Fairly","No",1400,40,1400,"Married","Same as respondent",2,4,0,100,"Yes","Yes","Yes","No","No","Yes"
"81","Female",1981,35,"Abroad","Africa","426","Muslim",28,7,"Expired residence permit/visa being renewed","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",600,20,600,"Divorced/Separated","I do not have a spouse/partner",1,2,100,100,"Yes","Yes","No","No","No","Yes"
"82","Male",1976,40,"Abroad","Africa","404","Catholic Christian",27,13,"Dual citizenship","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1300,40,2300,"Married","Same as respondent",3,5,150,200,"Yes","No","No","No","No","Yes"
"83","Male",1978,38,"Abroad","Africa","450","Catholic Christian",32,6,"Expired residence permit/visa being renewed","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",600,30,600,"Married","Same as respondent",2,1,200,200,"No","Yes","No","No","No","No"
"84","Male",1975,41,"Abroad","Africa","435","Muslim",29,12,"CE long-term residence permit","Legal","None",0,NA,"Very",NA,1500,40,1500,"Married","Other citizenship",2,5,200,300,"Yes","Yes","No","Yes","No","Yes"
"85","Male",1979,37,"Abroad","Europe","254","Orthodox Christian",33,4,"Never had any legal status (undocumented)","Illegal","Primary school",5,"Don't know, not informed","Very","No",500,10,500,"Married","Same as respondent",2,1,150,150,"No","No","No","No","Yes","No"
"86","Female",1980,36,"Abroad","Africa","442","Muslim",26,10,"CE long-term residence permit","Legal","None",0,NA,"Fairly",NA,400,6,1000,"Widowed","I do not have a spouse/partner",3,4,100,100,"Yes","No","No","No","No","Yes"
"87","Male",1978,38,"Abroad","Europe","201","Orthodox Christian",32,6,"Never had any legal status (undocumented)","Illegal","Lower secondary school",8,"Don't know, not informed","Little","No",500,10,500,"Married","Same as respondent",1,1,200,200,"No","No","No","No","No","No"
"88","Male",1980,36,"Abroad","Africa","450","Muslim",25,11,"Expired residence permit/visa being renewed","Legal","Lower secondary school",8,"No","Fairly","No",900,36,900,"Single","Italian",0,1,300,300,"Yes","No","No","Yes","No","Yes"
"89","Female",1984,32,"Abroad","Africa","436","Muslim",20,12,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Fairly","No",750,24,750,"Divorced/Separated","Other citizenship",2,4,0,0,"Yes","Yes","No","No","No","No"
"90","Male",1970,46,"Abroad","Africa","423","Catholic Christian",30,16,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",1500,40,1500,"Married","Same as respondent",3,1,350,350,"Yes","No","No","No","No","No"
"91","Male",1976,40,"Abroad","Africa","436","Muslim",25,15,"Dual citizenship","Legal","Upper secondary school",13,"Don't know, not informed","Fairly","No",1600,40,1600,"Married","Same as respondent",3,5,0,0,"Yes","No","No","No","No","Yes"
"92","Male",1982,34,"Abroad","Africa","419","Catholic Christian",16,18,"Dual citizenship","Legal","University degree or postgraduate diploma",16,"Don't know, not informed","Very","No",700,24,700,"Married","Same as respondent",2,4,0,0,"Yes","Yes","Yes","No","No","Yes"
"93","Male",1995,21,"Abroad","Africa","409","Muslim",13,8,"Valid residence permit/visa","Legal","Lower secondary school",8,"Yes","Very well","Yes",780,40,2600,"Single","I do not have a spouse/partner",0,5,0,300,"Yes","Yes","Yes","No","No","Yes"
"94","Female",1975,41,"Abroad","Africa","423","Catholic Christian",26,15,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",800,48,800,"Married","Same as respondent",2,2,150,150,"Yes","Yes","No","No","No","Yes"
"95","Male",1985,31,"Abroad","Asia","344","Muslim",22,9,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1200,40,1200,"Married","Same as respondent",1,1,200,200,"No","No","No","No","No","No"
"96","Male",1984,32,"Abroad","Asia","330","Sikh",27,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1000,30,1000,"Single","I do not have a spouse/partner",0,1,600,600,"No","No","No","No","No","No"
"97","Male",1955,61,"Abroad","Africa","436","Muslim",28,33,"Dual citizenship","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",1300,40,2400,"Married","Same as respondent",2,4,0,50,"No","No","No","No","No","No"
"98","Male",1968,48,"Abroad","Asia","311","Catholic Christian",27,21,"CE long-term residence permit","Legal","Lower secondary school",8,"Yes","Very well","Yes",1000,40,2000,"Married","Same as respondent",3,5,0,0,"Yes","No","No","No","No","Yes"
"99","Female",1949,67,"Abroad","America","615","Catholic Christian",49,18,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very well","No",1000,40,1000,"Married","Same as respondent",3,1,500,500,"Yes","No","Yes","No","No","Yes"
"100","Male",1975,41,"Abroad","Asia","311","Catholic Christian",36,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Fairly","No",600,20,600,"Single","I do not have a spouse/partner",0,1,200,200,"No","No","No","No","No","No"
"101","Male",1974,42,"Abroad","Africa","460","Muslim",28,14,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",1000,40,1000,"Divorced/Separated","I do not have a spouse/partner",0,1,50,50,"Yes","No","No","No","No","Yes"
"102","Male",1987,29,"Abroad","Africa","436","Muslim",11,18,"CE long-term residence permit","Legal","Upper secondary school",13,"Yes","Very well","Yes",1200,45,1200,"Married","Same as respondent",0,6,0,0,"Yes","Yes","No","No","No","Yes"
"103","Female",1967,49,"Abroad","America","605","Evangelical Christian",41,8,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"Don't know, not informed","Very well","No",500,12,1500,"Married","Same as respondent",1,3,0,0,"Yes","Yes","No","No","No","Yes"
"104","Male",1961,55,"Abroad","Asia","323","Catholic Christian",52,3,"Valid residence permit/visa","Legal","University degree or postgraduate diploma",16,"Don't know, not informed","Very","No",250,15,600,"Married","Same as respondent",5,3,0,0,"No","No","No","No","No","No"
"105","Male",1976,40,"Abroad","Asia","305","Muslim",35,5,"Valid residence permit/visa","Legal","Lower secondary school",8,"Don't know, not informed","Little","No",800,35,800,"Married","Same as respondent",1,1,400,400,"No","No","No","No","No","No"
"106","Male",1971,45,"Abroad","Asia","305","Muslim",38,7,"CE long-term residence permit","Legal","University degree or postgraduate diploma",16,"Don't know, not informed","Fairly","No",900,40,900,"Married","Same as respondent",2,1,100,100,"Yes","No","No","No","No","Yes"
"107","Female",1981,35,"Abroad","America","515","Catholic Christian",20,15,"CE long-term residence permit","Legal","Lower secondary school",8,"Don't know, not informed","Very","No",500,16,2000,"Married","Italian",2,6,0,0,"No","No","No","No","No","No"
"108","Female",1964,52,"Abroad","Europe","254","Orthodox Christian",39,13,"CE long-term residence permit","Legal","Upper secondary school",13,"No","Fairly","No",1100,40,1100,"Married","Same as respondent",2,1,400,400,"Yes","No","Yes","No","No","Yes"
"109","Male",1970,46,"Abroad","Africa","401","Muslim",25,21,"Dual citizenship","Legal","Upper secondary school",13,"Don't know, not informed","Very","No",1200,40,1200,"Single","Italian",0,1,0,0,"Yes","No","No","No","No","No"
"110","Female",1971,45,"Abroad","Africa","460","Muslim",25,20,"CE long-term residence permit","Legal","Primary school",5,"Don't know, not informed","Fairly","No",400,15,1600,"Married","Same as respondent",3,5,0,0,"Yes","Yes","Yes","No","No","Yes"
"111","Female",1978,38,"Abroad","Europe","235","Orthodox Christian",26,12,"EU citizens (or dual citizenship of another EU country)","Legal","Vocational qualification",11,"Don't know, not informed","Very","No",800,20,800,"Divorced/Separated","I do not have a spouse/partner",1,2,0,0,"Yes","Yes","Yes","No","No","Yes"
"112","Male",1996,20,"Abroad","Asia","311","Buddhist",4,16,"CE long-term residence permit","Legal","Upper secondary school",13,"Yes","Very well","Yes",700,40,700,"Single","I do not have a spouse/partner",0,1,0,0,"Yes","No","No","No","No","No"
